Job Title,Company Name,Job Location,Job Type,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite
Machine Learning Engineer,Infosys,Jaipur,Part-time,5-10 years,1/8/2025,2/6/2025,Naukri.com,116,MBA,C++,Remote
Senior Data Scientist,Google,Noida,Internship,10+ years,1/2/2025,1/31/2025,Naukri.com,78,B.Tech,Digital Marketing,Hybrid
(Sr.) Data Scientist -,HCL,Hyderabad,Full-time,2-5 years,1/12/2025,2/10/2025,LinkedIn,496,MBA,SQL,Hybrid
Data Scientist,Deloitte,Mumbai,Full-time,0-2 years,1/18/2025,2/3/2025,LinkedIn,80,M.Tech,Excel,Onsite
Staff Data Scientist - Analytics,Amazon,Pune,Part-time,0-2 years,1/16/2025,2/2/2025,LinkedIn,410,PhD,AWS,Remote
Data Analytics Engineer,TCS,Jaipur,Internship,10+ years,12/27/2024,1/3/2025,Naukri.com,405,MBA,Digital Marketing,Hybrid
"Data Scientist, Kinship - NYC/Portland",TCS,Kolkata,Full-time,2-5 years,12/25/2024,1/14/2025,Naukri.com,428,MBA,Machine Learning,Hybrid
Senior Data Scientist,Amazon,Bangalore,Internship,0-2 years,1/20/2025,2/5/2025,Indeed,325,PhD,AWS,Remote
Applied Technology Researcher / Data Scientist,HCL,Kolkata,Internship,2-5 years,12/24/2024,1/4/2025,Naukri.com,118,B.Tech,Java,Hybrid
Data Scientist,Amazon,Jaipur,Internship,5-10 years,12/30/2024,1/14/2025,LinkedIn,434,B.Sc,Machine Learning,Onsite
Machine Learning Engineer,HCL,Jaipur,Full-time,0-2 years,1/2/2025,1/25/2025,Naukri.com,137,M.Tech,Machine Learning,Remote
Health Data Scientist - Biomedical/Biostats,Infosys,Pune,Internship,,1/2/2025,1/30/2025,Indeed,16,B.Sc,SQL,Remote
Senior Data Scientist,Wipro,Delhi,Full-time,,12/25/2024,1/10/2025,LinkedIn,212,B.Tech,Machine Learning,Hybrid
Staff Data Scientist,Wipro,Jaipur,Part-time,0-2 years,12/28/2024,1/18/2025,Naukri.com,260,B.Tech,Digital Marketing,Onsite
Data Scientist,Amazon,Noida,Full-time,0-2 years,12/28/2024,1/7/2025,Indeed,53,B.Tech,Java,Remote
Sr Data Engineer (Sr BI Developer),Accenture,Noida,Contract,10+ years,1/16/2025,2/7/2025,LinkedIn,235,M.Tech,C++,Onsite
Data Engineer,IBM,Noida,Full-time,5-10 years,1/3/2025,1/20/2025,Indeed,401,MBA,Java,Hybrid
Lead Data Scientist,Microsoft,Bangalore,Contract,10+ years,12/27/2024,1/7/2025,Indeed,412,PhD,React,Onsite
Data Scientist,Google,Bangalore,Contract,2-5 years,1/15/2025,1/22/2025,Naukri.com,375,B.Tech,Machine Learning,Hybrid
RFP Data Analyst,Amazon,Pune,Full-time,10+ years,1/18/2025,1/31/2025,LinkedIn,483,M.Tech,Excel,Onsite
Data Analyst,Wipro,Jaipur,Part-time,5-10 years,1/22/2025,2/11/2025,Naukri.com,384,B.Tech,AWS,Remote
Data Scientist (TS/SCI),Amazon,Jaipur,Full-time,5-10 years,12/24/2024,1/22/2025,Naukri.com,370,B.Tech,SQL,Onsite
Data Engineer,TCS,Noida,Part-time,5-10 years,12/26/2024,1/18/2025,LinkedIn,92,PhD,C++,Hybrid
Data Scientist,Google,Hyderabad,Internship,2-5 years,12/31/2024,1/20/2025,Naukri.com,194,B.Sc,Python,Hybrid
Data Scientist,Amazon,Chennai,Part-time,0-2 years,1/7/2025,2/5/2025,Naukri.com,500,M.Tech,Machine Learning,Onsite
Software Engineer - Data Science,HCL,Kolkata,Contract,2-5 years,1/22/2025,1/31/2025,Naukri.com,253,PhD,Machine Learning,Onsite
Data Analyst/Engineer,Accenture,Jaipur,Internship,5-10 years,1/22/2025,2/4/2025,Indeed,290,MBA,React,Remote
NGS Scientist,Deloitte,Delhi,Contract,10+ years,1/22/2025,2/19/2025,LinkedIn,20,B.Sc,Excel,Onsite
Data Engineer,TCS,Kolkata,,5-10 years,1/2/2025,1/25/2025,Indeed,,B.Sc,UI/UX,Remote
Data Scientist,Google,Bangalore,Internship,0-2 years,1/8/2025,2/4/2025,LinkedIn,,MBA,Java,Onsite
Senior Data Engineer,Deloitte,Mumbai,Full-time,2-5 years,1/13/2025,1/21/2025,LinkedIn,,PhD,Machine Learning,Remote
Senior Data Scientist,Accenture,Noida,Contract,0-2 years,12/31/2024,1/8/2025,Naukri.com,,M.Tech,Python,Hybrid
Data Engineer,Amazon,Ahmedabad,Contract,0-2 years,1/18/2025,2/6/2025,LinkedIn,449,B.Sc,Java,Remote
Business Intelligence Analyst,Deloitte,Jaipur,Contract,10+ years,12/27/2024,1/4/2025,Indeed,42,M.Tech,Python,Onsite
Sr. ML/Data Scientist - AI/NLP/Chatbot,Wipro,Chennai,Part-time,0-2 years,1/13/2025,2/10/2025,LinkedIn,476,B.Tech,Digital Marketing,Remote
Data Scientist,IBM,Ahmedabad,Full-time,2-5 years,1/9/2025,2/2/2025,LinkedIn,441,B.Sc,C++,Remote
Data Scientist,HCL,Pune,Part-time,0-2 years,1/15/2025,2/14/2025,Naukri.com,318,M.Tech,UI/UX,Remote
Data Engineer,Amazon,Hyderabad,Contract,2-5 years,1/16/2025,1/26/2025,Naukri.com,459,B.Tech,Digital Marketing,Remote
Sr. ML/Data Scientist - AI/NLP/Chatbot,Amazon,Ahmedabad,Part-time,5-10 years,1/20/2025,2/19/2025,Naukri.com,410,M.Tech,AWS,Remote
Data Scientist,Amazon,Noida,Part-time,5-10 years,1/2/2025,1/10/2025,LinkedIn,133,PhD,AWS,Onsite
Senior Data Engineer,Infosys,Pune,Internship,0-2 years,12/29/2024,1/22/2025,LinkedIn,202,PhD,AWS,Hybrid
Data Engineer,Deloitte,Hyderabad,Contract,0-2 years,1/14/2025,2/10/2025,Indeed,251,B.Tech,Excel,Remote
Data Scientist,Accenture,Chennai,Full-time,5-10 years,1/4/2025,1/20/2025,Indeed,437,PhD,Machine Learning,Remote
Machine Learning Engineer,HCL,Bangalore,Contract,10+ years,1/16/2025,2/5/2025,LinkedIn,491,MBA,Excel,Onsite
Machine Learning Engineer,HCL,Ahmedabad,Part-time,0-2 years,1/2/2025,1/23/2025,Indeed,85,B.Sc,Java,Hybrid
Senior Data Engineer,Amazon,Jaipur,Part-time,10+ years,1/21/2025,2/6/2025,Indeed,190,MBA,Machine Learning,Onsite
Data Scientist,IBM,Bangalore,Part-time,5-10 years,1/15/2025,2/2/2025,Naukri.com,421,MBA,AWS,Remote
Data Analyst,Infosys,Noida,Internship,5-10 years,1/9/2025,2/3/2025,Indeed,57,PhD,AWS,Hybrid
Data Engineer,Accenture,Ahmedabad,Full-time,2-5 years,1/12/2025,1/26/2025,Naukri.com,410,MBA,Machine Learning,Remote
Data Integration and Modeling Engineer,IBM,Pune,Contract,0-2 years,1/17/2025,1/31/2025,Indeed,163,MBA,Java,Hybrid
Tableau Data Engineer 20-0117,Infosys,,Internship,0-2 years,1/10/2025,2/4/2025,LinkedIn,322,B.Tech,UI/UX,Remote
Senior Data Scientist,Deloitte,Delhi,Internship,2-5 years,12/29/2024,1/20/2025,Naukri.com,293,MBA,C++,Hybrid
AI Data Scientist,TCS,Jaipur,Part-time,5-10 years,1/22/2025,,Indeed,294,PhD,UI/UX,Hybrid
Machine Learning Engineer,TCS,Hyderabad,Full-time,5-10 years,12/29/2024,1/12/2025,Naukri.com,431,B.Tech,UI/UX,Remote
Research Scientist Patient Preferences (Remote),Deloitte,Ahmedabad,Internship,5-10 years,12/23/2024,1/8/2025,Indeed,357,M.Tech,Machine Learning,Remote
Data Scientist,Google,Delhi,Part-time,5-10 years,12/23/2024,1/19/2025,LinkedIn,265,B.Sc,Java,Remote
Scientist - Biomarker and Flow Cytometry,TCS,Ahmedabad,Part-time,10+ years,1/8/2025,1/23/2025,Naukri.com,287,M.Tech,C++,Onsite
Data Scientist,Wipro,Noida,Internship,5-10 years,1/8/2025,1/19/2025,LinkedIn,260,PhD,Digital Marketing,Onsite
Analytics Manager,Infosys,Hyderabad,Contract,0-2 years,1/4/2025,1/21/2025,Naukri.com,218,B.Sc,Excel,Onsite
Data Scientist,IBM,Kolkata,Part-time,0-2 years,,2/16/2025,Naukri.com,454,B.Tech,SQL,Remote
Staff Scientist- Upstream PD,Amazon,Bangalore,,10+ years,1/9/2025,1/19/2025,Indeed,129,MBA,SQL,Hybrid
Data Engineer,Infosys,Ahmedabad,Full-time,10+ years,1/6/2025,1/15/2025,LinkedIn,430,B.Tech,Machine Learning,Remote
Sr Scientist - Extractables & Leachables,IBM,Noida,Full-time,0-2 years,1/7/2025,1/22/2025,LinkedIn,122,B.Sc,C++,Remote
ELISA RESEARCH SCIENTIST (CV-15),Amazon,Jaipur,Full-time,10+ years,1/18/2025,2/17/2025,Indeed,146,PhD,UI/UX,Remote
Sr Data Scientist,Deloitte,Chennai,Internship,2-5 years,1/8/2025,1/25/2025,Naukri.com,79,B.Tech,Python,Hybrid
Data Scientist,TCS,Kolkata,Contract,2-5 years,12/27/2024,1/18/2025,LinkedIn,205,B.Tech,UI/UX,Remote
Experienced Data Scientist,Microsoft,Pune,Internship,5-10 years,1/3/2025,1/18/2025,Naukri.com,166,M.Tech,SQL,Onsite
Machine Learning Engineer,HCL,Chennai,Internship,2-5 years,12/29/2024,1/20/2025,Naukri.com,218,MBA,Machine Learning,Hybrid
Data Scientist,HCL,Jaipur,Internship,10+ years,1/1/2025,1/28/2025,LinkedIn,28,MBA,Python,Onsite
Data Scientist,Deloitte,Delhi,Contract,2-5 years,12/25/2024,1/19/2025,Indeed,158,B.Tech,Machine Learning,Remote
Say Business Data Analyst,Wipro,Noida,Contract,10+ years,12/30/2024,1/20/2025,Indeed,62,B.Sc,UI/UX,Hybrid
Geospatial Data Scientist,Infosys,Kolkata,Full-time,2-5 years,1/10/2025,1/19/2025,Indeed,71,B.Sc,React,Hybrid
Data Analyst,Infosys,Delhi,Internship,2-5 years,1/16/2025,1/30/2025,LinkedIn,205,M.Tech,Digital Marketing,Hybrid
Computational Scientist,HCL,Ahmedabad,Contract,10+ years,1/11/2025,1/25/2025,Indeed,429,MBA,SQL,Onsite
Data Scientist,Infosys,Delhi,Contract,0-2 years,12/29/2024,1/6/2025,Indeed,448,PhD,Excel,Remote
Senior Data Analyst,Google,Ahmedabad,Part-time,0-2 years,1/18/2025,2/6/2025,Indeed,231,MBA,SQL,Onsite
Senior Data Analyst,Microsoft,Kolkata,Contract,10+ years,12/31/2024,1/20/2025,LinkedIn,472,MBA,Excel,Remote
Data Engineer,TCS,Delhi,Full-time,10+ years,1/8/2025,1/22/2025,Indeed,236,B.Sc,SQL,Remote
Sr Data Analyst,IBM,Pune,Contract,2-5 years,12/26/2024,1/25/2025,LinkedIn,90,B.Sc,Excel,Onsite
Data Scientist,Infosys,Jaipur,Internship,2-5 years,12/26/2024,1/22/2025,Indeed,49,PhD,C++,Hybrid
"Machine Learning Scientist - Bay Area, CA",TCS,Bangalore,Internship,5-10 years,1/10/2025,2/6/2025,LinkedIn,224,PhD,React,Hybrid
Data Scientist,Amazon,Ahmedabad,Full-time,0-2 years,12/25/2024,1/17/2025,LinkedIn,490,B.Sc,Digital Marketing,Hybrid
Senior Data Scientist - Algorithms,HCL,Hyderabad,Contract,0-2 years,1/20/2025,2/9/2025,LinkedIn,411,PhD,C++,Hybrid
Data Analyst,HCL,Chennai,Internship,2-5 years,1/19/2025,2/3/2025,Indeed,263,PhD,Java,Onsite
Senior Data & Machine Learning Scientist,Microsoft,Chennai,Contract,2-5 years,1/13/2025,1/31/2025,Naukri.com,330,M.Tech,C++,Onsite
Data Engineer,Wipro,Noida,Internship,5-10 years,1/15/2025,1/22/2025,LinkedIn,361,B.Sc,Python,Remote
"Data Scientist - Statistics, Early Career",Amazon,Mumbai,Contract,0-2 years,1/19/2025,2/13/2025,Indeed,495,PhD,Machine Learning,Hybrid
Data Scientist,Wipro,Ahmedabad,Internship,10+ years,12/28/2024,1/9/2025,Indeed,420,PhD,UI/UX,Remote
Machine Learning Engineer,TCS,Noida,Part-time,0-2 years,1/22/2025,2/17/2025,Indeed,311,B.Sc,AWS,Remote
Research Scientist - Patient-Centered Research (Remote),HCL,Hyderabad,Contract,2-5 years,1/20/2025,2/5/2025,Naukri.com,73,MBA,Java,Hybrid
Jr. Business Data Analyst (position added 6/12/2020),Wipro,Hyderabad,Full-time,10+ years,1/13/2025,1/22/2025,Indeed,289,B.Tech,AWS,Onsite
Sr. Data Scientist II,HCL,Jaipur,Contract,5-10 years,1/12/2025,2/11/2025,Naukri.com,52,MBA,Java,Hybrid
Data Scientist,HCL,Ahmedabad,Full-time,10+ years,1/18/2025,2/4/2025,Indeed,80,M.Tech,C++,Remote
Senior Data Analyst,TCS,Ahmedabad,Contract,10+ years,12/28/2024,1/24/2025,Indeed,64,B.Tech,SQL,Onsite
Lead Data Scientist,HCL,Ahmedabad,Full-time,0-2 years,1/14/2025,2/1/2025,Indeed,451,M.Tech,Java,Remote
Production Engineer - Statistics/Data Analysis,Accenture,Kolkata,Full-time,0-2 years,12/30/2024,1/25/2025,Naukri.com,99,M.Tech,Python,Hybrid
Statistical Scientist,HCL,Chennai,Full-time,10+ years,1/13/2025,1/22/2025,Indeed,306,B.Sc,SQL,Hybrid
Computational Behavioral Scientist,Amazon,Hyderabad,Full-time,10+ years,1/11/2025,1/30/2025,LinkedIn,315,B.Tech,UI/UX,Onsite
Principal Data Scientist - Machine Learning,HCL,Mumbai,Full-time,2-5 years,1/5/2025,2/1/2025,LinkedIn,110,B.Sc,UI/UX,Remote
Principal Machine Learning Scientist,Wipro,Noida,Internship,5-10 years,1/2/2025,1/15/2025,Indeed,172,B.Tech,UI/UX,Onsite
Data Engineer,Accenture,Chennai,Internship,0-2 years,1/1/2025,1/28/2025,LinkedIn,362,PhD,Machine Learning,Onsite
Principal Data Scientist,Accenture,Noida,Contract,5-10 years,1/17/2025,2/1/2025,LinkedIn,234,M.Tech,C++,Hybrid
Data Scientist,Amazon,Hyderabad,Internship,2-5 years,1/1/2025,1/27/2025,Indeed,123,MBA,Python,Remote
Senior Data Scientist - R&D Oncology,Microsoft,Kolkata,Contract,0-2 years,1/4/2025,2/3/2025,Naukri.com,58,M.Tech,Java,Onsite
Data Scientist,Accenture,Mumbai,Internship,2-5 years,12/28/2024,1/6/2025,Indeed,417,M.Tech,UI/UX,Remote
"Health Plan Data Analyst, Sr",Google,Bangalore,Full-time,0-2 years,1/4/2025,1/20/2025,Indeed,28,B.Sc,AWS,Remote
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",IBM,Kolkata,Internship,10+ years,12/28/2024,1/5/2025,Naukri.com,38,PhD,Excel,Onsite
Analytics - Business Assurance Data Analyst,Google,Hyderabad,Part-time,0-2 years,1/15/2025,1/23/2025,Indeed,462,B.Sc,Machine Learning,Hybrid
Data Scientist - Contract,Accenture,Pune,Full-time,5-10 years,1/3/2025,1/24/2025,Indeed,44,PhD,Python,Hybrid
